,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Temperature Max,Wind Speed
0,Souillac,0,FR,1559364358,82,45.6,-0.6,59.0,2.24
1,Aksarka,100,RU,1559364359,80,66.56,67.8,37.13,4.12
2,Hermanus,11,ZA,1559364341,92,-34.42,19.24,54.0,5.79
3,Kununurra,0,AU,1559364359,16,-15.77,128.74,77.0,13.87
4,Ushuaia,90,AR,1559364073,74,-54.81,-68.31,33.8,12.75
5,Punta Arenas,90,CL,1559364359,93,-53.16,-70.91,37.4,12.75
6,Taga,75,JP,1559364360,47,35.21,136.34,86.0,5.82
7,Avarua,1,CK,1559364322,88,-21.21,-159.78,75.2,6.93
8,Qaanaaq,85,GL,1559364360,91,77.48,-69.36,21.29,3.89
9,Mataura,95,NZ,1559364325,80,-46.19,168.86,43.0,8.01
10,Geraldton,75,CA,1559364361,65,49.72,-86.95,46.4,4.7
11,Tuktoyaktuk,20,CA,1559364329,74,69.44,-133.03,41.0,14.99
12,Kodinsk,25,RU,1559364361,29,58.6,99.18,64.31,8.9
13,Tilichiki,52,RU,1559364362,57,60.47,166.1,53.87,10.49
14,Cidreira,100,BR,1559364330,80,-30.17,-50.22,62.33,6.64
15,Angoche,30,MZ,1559364362,80,-16.23,39.91,71.51,8.46
16,Clyde River,1,CA,1559364342,86,70.47,-68.59,30.2,9.17
17,Kruisfontein,18,ZA,1559364363,92,-34.0,24.73,54.77,4.0
18,Lata,47,IN,1559364363,48,30.78,78.62,48.65,8.32
19,Chapais,90,CA,1559364364,75,49.78,-74.86,41.0,4.7
20,Kampot,40,KH,1559364364,74,10.62,104.18,93.2,4.7
21,Katsuura,75,JP,1559364364,53,33.93,134.5,77.0,9.17
22,Portales,1,US,1559364365,72,34.19,-103.33,70.0,14.99
23,Natal,20,BR,1559364362,83,-5.81,-35.21,75.2,5.82
24,Bubaque,99,GW,1559364365,82,11.28,-15.83,77.99,11.7
25,Bambous Virieux,75,MU,1559364365,88,-20.34,57.76,75.2,5.82
26,Ostrovnoy,52,RU,1559364366,61,68.05,39.51,46.49,24.36
27,Rikitea,80,PF,1559364366,82,-23.12,-134.97,74.57,10.56
28,Barrow,81,AR,1559364326,89,-38.31,-60.23,46.13,9.53
29,Hithadhoo,100,MV,1559364325,73,-0.6,73.08,84.65,10.51
30,Iqaluit,20,CA,1559364367,58,63.75,-68.52,32.0,2.24
31,Vaini,75,IN,1559364368,78,15.34,74.49,80.6,5.82
32,Bull Savanna,53,JM,1559364368,77,17.89,-77.59,80.87,9.08
33,Port Alfred,57,ZA,1559364368,95,-33.59,26.89,57.99,4.18
34,Upernavik,98,GL,1559364369,89,72.79,-56.15,29.93,9.06
35,Mineiros,0,BR,1559364369,75,-17.57,-52.55,65.39,1.99
36,Ilulissat,23,GL,1559364369,74,69.22,-51.1,37.4,5.03
37,Hilo,90,US,1559364326,83,19.71,-155.08,75.2,6.93
38,Esperance,20,TT,1559364370,83,10.24,-61.45,79.0,3.36
39,Shimoda,75,JP,1559364370,73,34.7,138.93,82.0,9.17
40,Leningradskiy,55,RU,1559364371,89,69.38,178.42,33.35,8.63
41,Saint-Philippe,1,CA,1559364326,71,45.36,-73.48,51.8,3.36
42,Ojinaga,1,US,1559364418,57,29.56,-104.41,77.0,18.34
43,El Fuerte,0,MX,1559364419,59,26.42,-108.62,80.51,0.85
44,Petropavl,90,KZ,1559364230,72,54.87,69.13,66.2,15.66
45,Havoysund,75,NO,1559364419,93,71.0,24.66,39.2,18.34
46,Yellowknife,75,CA,1559364419,45,62.45,-114.38,48.2,9.17
47,Carnarvon,0,ZA,1559364420,64,-30.97,22.13,49.01,2.71
48,Mar del Plata,100,AR,1559364420,95,-46.43,-67.52,42.17,9.22
49,Bredasdorp,1,ZA,1559364420,93,-34.53,20.04,41.0,1.12
50,Padang,100,ID,1559364420,75,-0.92,100.36,83.93,8.61
51,Ion Roata,90,RO,1559364421,100,44.67,26.77,64.99,2.24
52,Palmas,0,BR,1559364421,88,-10.18,-48.33,73.4,5.82
53,Atuona,10,PF,1559364421,77,-9.8,-139.03,82.49,14.74
54,New Norfolk,20,AU,1559364422,51,-42.78,147.06,61.0,10.29
55,Oyem,39,GA,1559364422,97,1.6,11.57,69.53,2.8
56,Puerto Ayora,13,EC,1559364422,86,-0.74,-90.35,74.57,8.1
57,Pimentel,87,BR,1559364423,99,-3.7,-45.5,72.05,1.81
58,Bali,100,CN,1559364423,34,32.29,119.4,90.0,1.01
59,Marietta,1,US,1559364424,60,33.95,-84.55,73.4,8.05
60,Provideniya,1,RU,1559364424,56,64.42,-173.23,50.09,1.5
61,Okhotsk,100,RU,1559364424,81,59.36,143.24,45.05,11.07
62,Holt,75,GB,1559364425,87,53.08,-2.88,59.0,4.7
63,Kapaa,40,US,1559364328,74,22.08,-159.32,82.4,10.29
64,Hami,0,CN,1559364425,9,42.84,93.51,84.83,5.1
65,Chuy,78,UY,1559364426,66,-33.69,-53.46,58.73,3.15
66,Georgetown,40,GY,1559364426,100,6.8,-58.16,75.2,2.24
67,Albany,1,US,1559364357,67,42.65,-73.75,57.2,3.22
68,Lavrentiya,49,RU,1559364427,66,65.58,-170.99,46.31,7.81
69,Naze,64,NG,1559364427,96,5.43,7.07,72.77,3.36
70,Itarema,72,BR,1559364427,93,-2.92,-39.92,75.65,6.15
71,Ambon,0,FR,1559364325,87,47.55,-2.56,57.2,8.05
72,Tuatapere,99,NZ,1559364428,80,-46.13,167.69,43.0,8.01
73,Busselton,51,AU,1559364341,33,-33.64,115.35,73.0,9.22
74,Trindade,0,BR,1559364428,88,-16.66,-49.49,68.0,3.36
75,Kandi,100,BJ,1559364429,82,11.13,2.93,77.27,10.58
76,Mortka,8,RU,1559364429,38,59.33,66.02,62.33,7.05
77,Pochutla,100,MX,1559364429,95,15.74,-96.47,73.99,1.01
78,Whitehorse,75,CA,1559364349,57,60.72,-135.06,59.0,17.22
79,Nikolskoye,0,RU,1559364430,66,59.7,30.79,64.0,8.95
80,Norman Wells,75,CA,1559364430,62,65.28,-126.83,55.4,14.99
81,Cockburn Town,2,TC,1559364431,79,21.46,-71.14,80.87,20.29
82,Nizhniy Baskunchak,0,RU,1559364431,33,48.22,46.83,87.53,4.76
83,Matara,26,PE,1559364432,81,-13.74,-72.9,29.75,1.19
84,Harper,1,US,1559364432,83,30.3,-99.24,77.0,7.27
85,Bluff,54,AU,1559364432,32,-23.58,149.07,65.57,8.86
86,Kaitangata,79,NZ,1559364433,72,-46.28,169.85,42.01,4.0
87,Jamestown,71,AU,1559364434,68,-33.21,138.6,54.77,8.84
88,Tripoli,0,GR,1559364478,82,37.51,22.37,68.0,6.93
89,Arraial do Cabo,51,BR,1559364479,77,-22.97,-42.02,75.47,6.2
90,Ketchikan,90,US,1559364479,100,55.34,-131.65,51.8,10.29
91,Luderitz,0,NA,1559364479,66,-26.65,15.16,53.6,4.7
92,Isangel,75,VU,1559364479,65,-19.55,169.27,78.8,13.87
