,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Temperature Max,Wind Speed
0,Puerto Leguizamo,0,CO,1559361633,84,-0.19,-74.78,75.66,2.3
1,Klaksvik,100,FO,1559361633,87,62.23,-6.59,42.8,9.17
2,Avarua,0,CK,1559361634,88,-21.21,-159.78,75.2,12.75
3,Port Elizabeth,1,US,1559361349,93,39.31,-74.98,70.0,3.36
4,Busselton,44,AU,1559361634,35,-33.64,115.35,71.01,12.19
5,Hermanus,0,ZA,1559361634,92,-34.42,19.24,54.0,4.18
6,Teguldet,0,RU,1559361635,47,57.31,88.17,44.88,8.37
7,Merauke,78,ID,1559361635,79,-8.49,140.4,82.14,16.89
8,Clyde River,1,CA,1559361635,80,70.47,-68.59,33.8,4.7
9,Kalmunai,100,LK,1559361409,72,7.42,81.82,83.76,1.36
10,Alta Floresta,1,BR,1559361636,70,-9.87,-56.08,74.76,2.59
11,Mataura,99,NZ,1559361126,80,-46.19,168.86,43.0,8.01
12,Ambon,0,FR,1559361636,93,47.55,-2.56,57.2,6.93
13,Hithadhoo,100,MV,1559361561,75,-0.6,73.08,84.3,9.73
14,Barrow,62,AR,1559361467,93,-38.31,-60.23,44.88,7.74
15,Saint-Philippe,1,CA,1559361637,66,45.36,-73.48,51.8,5.82
16,Hobart,7,AU,1559361290,68,-42.88,147.33,59.0,3.0
17,Hilo,90,US,1559361637,83,19.71,-155.08,75.2,4.7
18,Arman,100,RU,1559361638,83,59.7,150.17,46.68,3.56
19,Mar del Plata,100,AR,1559361284,91,-46.43,-67.52,42.54,9.06
20,Plastun,13,RU,1559361638,64,44.76,136.29,60.18,7.94
21,Castro,90,CL,1559361129,100,-42.48,-73.76,50.0,13.87
22,Kapaa,40,US,1559361612,74,22.08,-159.32,82.4,10.29
23,Gat,20,SN,1559361639,94,14.69,-16.54,68.0,3.36
24,Ushuaia,75,AR,1559361640,74,-54.81,-68.31,33.8,13.87
25,Tuktoyaktuk,20,CA,1559361640,70,69.44,-133.03,42.8,14.99
26,Cidreira,100,BR,1559361130,79,-30.17,-50.22,61.98,7.94
27,Darhan,100,MN,1559361640,57,49.49,105.92,60.9,12.62
28,Mahebourg,75,MU,1559361641,100,-20.41,57.7,73.99,9.17
29,Nanuque,0,BR,1559361641,91,-17.84,-40.35,70.44,6.38
30,Hilpoltstein,0,DE,1559361641,93,49.19,11.19,55.99,3.36
31,Kodiak,1,US,1559361642,52,39.95,-94.76,69.8,5.82
32,Jamestown,85,AU,1559361354,69,-33.21,138.6,54.6,8.41
33,Poum,75,MK,1559361642,87,41.28,20.71,50.0,4.7
34,Hobyo,100,SO,1559361643,74,5.35,48.53,80.16,18.39
35,Pasni,0,PK,1559361643,43,25.26,63.48,91.32,3.94
36,Tornio,0,FI,1559361644,65,61.12,27.27,46.4,9.17
37,Cape Town,90,ZA,1559360976,100,-33.93,18.42,55.99,2.24
38,Kavieng,72,PG,1559361644,72,-2.57,150.8,85.56,11.34
39,Ust-Kulom,1,RU,1559361644,46,61.69,53.69,58.2,5.64
40,Frankenberg,0,DE,1559361645,87,49.04,9.68,57.0,4.7
41,Port Alfred,78,ZA,1559361645,95,-33.59,26.89,59.0,2.62
42,Senanga,9,ZM,1559361645,45,-16.1,23.3,52.62,3.8
43,Ambilobe,8,MG,1559361646,97,-13.19,49.05,69.18,2.59
44,Nemuro,40,JP,1559361646,46,43.32,145.57,71.6,14.99
45,Kruisfontein,35,ZA,1559361693,94,-34.0,24.73,52.98,3.2
46,Morondava,23,MG,1559361693,80,-20.3,44.28,72.42,7.7
47,Bethel,75,US,1559361595,51,60.79,-161.76,60.8,8.05
48,Jenbach,0,AT,1559361694,93,47.39,11.77,48.99,1.12
49,Bryan,1,US,1559361464,100,30.67,-96.37,77.0,3.69
50,Teya,75,MX,1559361695,94,21.05,-89.07,81.0,4.7
